ORGANIZATION_ID,REPORT_ID,REPORTING_UNIT_ID,SUMMARY_SEQ,BENEFICIAL_USE_ID,FRESH_SALINE_IND,SOURCE_TYPE,POWER_GENERATED,POPULATION_SERVED,WFS_FEATURE_REF
TWDB,2015,48637,1,16,1,1,,4108,
TWDB,2015,48641,1,16,1,1,,36643,
TWDB,2015,48645,1,16,1,1,,57299,
TWDB,2015,48613,1,16,1,1,,8336,
TWDB,2015,48617,1,16,1,1,,250050,
TWDB,2015,48621,1,16,1,1,,861,
TWDB,2015,48649,1,16,1,1,,49326,
TWDB,2015,48653,1,16,1,1,,2310,
TWDB,2015,48657,1,16,1,1,,160986,
TWDB,2015,48661,1,16,1,1,,24232,
TWDB,2015,48665,1,16,1,1,,5041,
TWDB,2015,48669,1,16,1,1,,8980,
TWDB,2015,48673,1,16,1,1,,19739,
TWDB,2015,48677,1,16,1,1,,539335,
TWDB,2015,48681,1,16,1,1,,22752,
TWDB,2015,48685,1,16,1,1,,13035,
TWDB,2015,48689,1,16,1,1,,1104,
TWDB,2015,48693,1,16,1,1,,65649,
